	DmPA_Lucas_cellpellets_IV4	DmPA_Lucas_cellpellets_IV5	DmPA_Lucas_cellpellets_IV6	DmPA_Lucas_cellpellets_IV10	DmPA_Lucas_cellpellets_IV11	DmPA_Lucas_cellpellets_IV12	DmPA_Lucas_cellpellets_IV22	DmPA_Lucas_cellpellets_IV23	DmPA_Lucas_cellpellets_IV24	DmPA_Lucas_cellpellets_IV34	DmPA_Lucas_cellpellets_IV35	DmPA_Lucas_cellpellets_IV36	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko
985	24.48528153072421	24.41899759209796	24.3230331788156	24.53370655487636	24.832683523109228	24.37437509247852	24.524424133460435	24.735199823569687	23.97245274022352	24.68091439377613	24.30159940131132	24.337827873332785	F8958	288.123	419.04	16	0.6342669341609495	0.494081568997639	0.4817576413675261	0.9951207393710477	0.33124416801932116	0.9161578518338038
986	22.798591140726813	22.82185148935128	22.8818665705766	23.70762525765562	22.866598541152225	23.5441808001689	23.60490270316619	23.54324458710737	23.14831426853302	23.700487161922577	23.79413700557655	23.52895826838753	F8961	288.123	430.99	17	0.016111549536595493	0.030464876809506044	0.3629302694402272	0.04900185892513151	0.17037229542963386	0.23076255637793458
987	18.242710683857428	18.242710683857428	18.242710683857428	18.242710683857428	18.242710683857428	18.242710683857428	18.242710683857428	18.242710683857428	18.242710683857428	18.242710683857428	18.242710683857428	18.242710683857428	F8980	288.1251	410.24	219	0.23632097494479481	0.6087170316973567				
988	21.584860398441204	21.033377370494687	18.71145196439573	21.97471317476164	21.98816917100982	21.03811402352328	21.827129323382785	21.375762473275483	18.71145196439573	21.82791179111493	21.059998556633783	21.199889739226	F8983	260.0532	393.17	7242	0.9347879571811638	0.16865927177464254	0.4852404799425743	0.8891307587991506	0.29777634058108987	0.5372020607075995
989	14.75965620015558	18.435213443759565	19.020141881534244	24.028782895996585	23.50192211795536	23.503859784722977	19.20188034847044	19.37331131446269	14.75965620015558	23.961352784033885	23.34467246889623	24.134683734843208	F8984	288.1344	378.73	3024	0.7971887396590669	0.00012444777441603482	0.6741946213843768	0.8621486130094238	0.04029147465494645	0.05405111253603856
990	29.410484756524813	28.929436809625745	29.356122403173337	29.18390422810003	28.888104353898346	28.91565777102912	28.95540615228414	28.697427740336632	29.07473877991105	29.204104513195148	28.759540018164024	29.103758542536497	F8997	313.1159	377.28	3324	0.28913048936496283	0.6515253548289361	0.8802534511928755	0.1684464524107585	0.27022723185262276	0.5532298570115108
991	30.54149287377678	29.81432011316356	30.074461955351182	30.00889184118223	29.73555764262329	29.752938194053726	29.972763515372485	29.45260733840341	29.764023876265032	29.975023594795804	29.38453919515264	29.851929432819603	F8998	313.1159	379.39	3324	0.15499615894441687	0.378586377880627	0.6677696025067874	0.19572111540774068	0.2800550147325694	0.9765314226458184
992	25.682257232961373	25.682257232961373	25.682257232961373	25.682257232961373	25.682257232961373	25.682257232961373	25.682257232961373	25.682257232961373	25.682257232961373	25.682257232961373	25.682257232961373	28.004185306413177	F9000	313.1159	453.45	1118	0.34343639613791277	0.3434363961379128	0.4226497308103736			0.4226497308103736
993	27.577681662558973	27.577681662558973	27.577681662558973	27.577681662558973	27.577681662558973	27.577681662558973	27.577681662558973	27.577681662558973	27.577681662558973	27.577681662558973	27.577681662558973	29.899609751684576	F9001	313.1159	497.7	3562	0.34343639613791216	0.3434363961379106	0.4226497308103736			0.4226497308103736
994	24.566354977105615	24.566354977105615	24.566354977105615	24.566354977105615	24.566354977105615	24.566354977105615	24.566354977105615	24.566354977105615	24.566354977105615	24.566354977105615	24.566354977105615	26.888283025535596	F9002	313.1159	499.01	1382	0.34343639613791355	0.343436396137912	0.42264973081037494			0.42264973081037494
995	22.20233802413882	22.83204387195994	22.072830218741903	22.239119946599605	23.25376278794329	22.962533074867984	21.40493851372253	23.4933114768423	21.71346031421348	22.38514485830296	22.704492642362737	22.047195384606542	F9011	260.0894	380.83	20	0.4345447860939967	0.4202249658187772	0.29650180854802977	0.8294166167499867	0.3083638882680858	0.8172485184036725
996	23.832019741429228	23.770123053606262	23.47382039380617	23.811702511958647	24.342601754216123	23.67032779296596	23.86967015486757	24.281506987364185	23.258230071364757	23.730063881433523	23.40683399258403	23.19012274600083	F9012	260.0894	384.51	38	0.39637931659666337	0.8042539482285115	0.12972821870613188	0.7529664638644497	0.360170565020984	0.3609499846844203
997	22.390619246949598	21.922186313221765	21.689143723568897	22.05934950042208	22.309643904418134	21.813482336980996	22.31426612842857	22.387555059124768	20.76051811762222	22.191678240311077	21.53093719538578	20.52429200541883	F9013	260.0894	385.3	31	0.2902664150640309	0.6496833167361031	0.3135315428446525	0.7757185909222621	0.8237522035540594	0.6032674922404206
998	26.28819190411025	26.28819190411025	26.28819190411025	26.28819190411025	26.28819190411025	26.28819190411025	26.28819190411025	26.28819190411025	26.28819190411025	26.28819190411025	26.28819190411025	26.28819190411025	F9014	313.1193	377.42	3199	0.0	0.0				
999	26.84027538970202	26.84027538970202	26.84027538970202	26.84027538970202	26.84027538970202	26.84027538970202	26.84027538970202	26.84027538970202	26.84027538970202	26.84027538970202	26.84027538970202	26.84027538970202	F9015	313.1193	379.25	3199	0.5863227525714511	0.3164774052319921				
1000	17.552199800553	17.552199800553	17.552199800553	17.552199800553	17.552199800553	17.552199800553	20.740525284535117	20.5977823038715	20.69117079122927	20.40337925479102	20.82023068973447	20.94075770779875	F9025	288.1544	490.74	3333	2.1076215200444234e-11	0.7839840077766685	0.0026283174567355958	0.00017941968823970852		0.8115329495755352
1001	23.06914391635143	23.16157730012733	22.015221562469343	23.319674052305285	23.88839552807307	23.230489013244025	23.012937877869906	23.374993572782408	22.396754894101736	23.009148797977826	23.487850858579307	22.85740758341177	F9027	313.1243	405.78	488	0.7454952631256035	0.1242510440918588	0.267178182501663	0.720460493568434	0.17712809464752283	0.6133959765287538
1002	19.28082379145608	18.692619844962216	19.306063834877264	19.8640063283298	19.096466582838023	19.804997753128823	16.660798743390046	19.79488315485752	20.036857087552733	14.338926344755032	18.99583619838848	19.21895553428136	F9033	313.1268	362.45	21	0.25923414158052877	0.6829055292444925	0.32210664472758815	0.8332835589536237	0.1969900379755559	0.5376360076845603
