	DmPA_Lucas_cellmedia_IV4	DmPA_Lucas_cellmedia_IV5	DmPA_Lucas_cellmedia_IV6	DmPA_Lucas_cellmedia_IV10	DmPA_Lucas_cellmedia_IV11	DmPA_Lucas_cellmedia_IV12	DmPA_Lucas_cellmedia_IV22	DmPA_Lucas_cellmedia_IV23	DmPA_Lucas_cellmedia_IV24	DmPA_Lucas_cellmedia_IV34	DmPA_Lucas_cellmedia_IV35	DmPA_Lucas_cellmedia_IV36	id_number	mz	rtime	snr	p_genotype	p_treatment	p_tim3_hypoxia	p_tim3_normoxia	p_o2_tim3wt	p_o2_tim3ko	name	ion_relation	isotopologue
0	19.81827820793196	23.43157668054089	23.86663643478501	23.92414023795811	19.81827820793196	19.81827820793196	22.970195662919373	22.862646845902265	23.388826801012907	23.03618719108984	23.20913541930871	22.97397704759794	F16	246.1004	397.11	20120	0.1887122621960879	0.5308479085302069	0.3019500162367664	0.6402904705167708	0.5619627040035323	0.9967112458551616	Acetate_dmpa*1	Na+	m+13C*2
1	14.198251525876856	14.198251525876856	14.198251525876856	24.415204180080643	14.198251525876856	18.658997349291614	14.198251525876856	14.198251525876856	14.198251525876856	21.81792951554345	14.198251525876856	21.20577424075489	F117	275.0999	372.03	4	0.9963886167120368	0.0243741385727032	0.9967165963953036		0.2398679080319014	0.1842175125979325	Pyruvate_dmpa*1	Na+	m+13C*3
2	17.989845254639665	17.989845254639665	17.989845254639665	26.33397665594868	17.989845254639665	20.31176891566521	17.989845254639665	17.989845254639665	17.989845254639665	23.21553455256488	17.989845254639665	22.223846533128803	F120	275.0999	392.39	46	0.8886568297332513	0.0397212347822866	0.899490190454147		0.2890048265116405	0.1879534075992521	Pyruvate_dmpa*1	Na+	m+13C*3
3	15.73819176395781	15.73819176395781	15.73819176395781	26.605994503995987	15.73819176395781	19.77290088626025	15.73819176395781	15.73819176395781	15.73819176395781	22.641183657344666	15.73819176395781	20.74257325320327	F122	275.0999	401.18	60	0.7866770733361047	0.0340940895532891	0.8068407510418407		0.257804049073577	0.1936888183195145	Pyruvate_dmpa*1	Na+	m+13C*3
4	22.20492028451634	27.00557027250872	25.69859450794062	27.55265984055809	22.20492028451634	25.710489968651867	27.936072561557207	27.8396155286624	26.14930964876378	26.933011760678333	26.780898782289245	25.33277639563389	F149	275.1084	381.62	824	0.1373222653999036	0.7292763519707302	0.5330780068527754	0.2394785316593639	0.934358563422664	0.2830865775735114	(S)-Lactate_dmpa*1	Na+	m+13C*1
5	24.86632887730069	28.75033879565242	29.36077485633167	30.16316645020721	24.86632887730069	27.96631899617581	29.587282977952693	29.61375738683988	28.782494010472853	28.771522757265327	28.87145244679333	28.609824918845234	F150	275.1084	384.24	915	0.2001102918000381	0.7809597896421617	0.5531697867384888	0.3573244836295436	0.997796775786301	0.1611718203447801	(S)-Lactate_dmpa*1	Na+	m+13C*1
6	15.311268829198228	15.311268829198228	15.311268829198228	15.311268829198228	17.633168537209023	15.311268829198228	24.13600256075426	24.04571542653935	20.491595049340106	15.311268829198228	15.311268829198228	15.311268829198228	F255	302.1001	387.53	58	0.0553025070224652	0.0553025070224654	0.4226497308103754	0.0241604695865559	0.4226497308103754	0.0241604695865559	Succinate_dmpa*1	Na+	M0
7	18.0642431301744	18.0642431301744	21.7724474132144	21.45554628892196	20.38616701405316	18.0642431301744	18.0642431301744	22.215278970596504	18.0642431301744	18.0642431301744	18.0642431301744	18.0642431301744	F984	303.1034	386.21	1412	0.4249163967119745	0.7414308766169588	0.1974411669547676	0.940455778481186	0.6968161820906745	0.422649730810374	Succinate_dmpa*1	Na+	m+13C*1
8	20.49705655796673	20.49705655796673	20.49705655796673	20.49705655796673	20.49705655796673	20.49705655796673	20.49705655796673	20.49705655796673	20.49705655796673	20.49705655796673	20.49705655796673	20.49705655796673	F1275	329.2221	409.33	675	0.0	0.0					Ubiquinone	H+	m+13C*10
9	21.470436784286044	21.120551654818765	22.106633319273413	18.3896304715292	18.3896304715292	21.91554935060476	22.19125552250798	22.40992488586456	22.25984780397502	18.3896304715292	21.494661749921907	21.97127132012792	F1400	276.0894	394.09	11864	0.2851229638985218	0.0433244029669225	0.5522793499608795	0.1235860120288215	0.2266217816595413	0.2754341029344833	S-Acetyldihydrolipoamide	Na+	m+13C*4
10	24.154766036066768	23.497866256756488	22.897752736132706	24.01844514304292	15.31945221636362	22.03871242668143	24.35013817826006	24.31166547916111	22.308802075646785	22.962610361773244	23.307350805878148	20.326831084156705	F1449	276.1107	381.62	588	0.5165025087404034	0.1392928115654641	0.5856956190823412	0.8662561912101925	0.3651288730867348	0.2829475394534827	(S)-Lactate_dmpa*1	Na+	m+13C*2
11	25.8675525045678	25.23930100555417	25.98613116839086	26.27614515580342	21.028233496037743	24.284263624809384	26.092289610990385	26.054089334450182	25.26445488983828	25.11256634614948	25.172041843999	24.933808520181497	F1450	276.1107	384.38	1634	0.4112201662561036	0.1272435577087428	0.511919116640256	0.7809315667066967	0.3528391582797718	0.1050813352166622	(S)-Lactate_dmpa*1	Na+	m+13C*2
12	22.206836169902463	22.23182995522487	24.038158122041374	22.79830451363712	23.20369498343245	15.177409393331333	23.15223980829606	23.332926249352983	21.28460026359821	22.664830322222457	22.56155963797825	21.777333538750973	F1692	276.1497	496.91	3114	0.5451850077163607	0.3477521441647572	0.5351305736202111	0.804813632083859	0.4517544213219283	0.7460321376125556	S-Acetyldihydrolipoamide	NH4+	m+13C*9
